#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
101,Blake Snell,LAD,4,3,3.64,11,11,0,0,,60,255,48,27,24,7,28,,3,73
102,Chris Paddack,MIN,2,2,4.33,24,16,0,0,,92,393,90,48,44,14,27,,4,82
103,Alex Cobb,DET,4,3,3.83,10,10,0,0,,55,233,54,26,24,5,17,,2,49
104,Tyler Mahle,TEX,6,6,4.38,17,17,0,0,,89,380,85,48,44,13,31,,4,77
105,Michael Soroka,WSN,2,2,4.31,36,14,0,0,,104,449,101,54,50,14,38,,5,98
106,Dean Kremer,BAL,6,6,4.37,17,17,0,0,,95,408,93,51,46,14,32,,4,83
107,Walker Buehler,BOS,3,4,4.66,24,16,0,0,,88,376,90,49,45,12,30,,4,76
108,Eury Pérez,MIA,5,4,3.99,12,12,0,0,,66,280,59,32,29,10,22,,3,71
109,Cade Smith,CLE,2,2,2.93,43,0,3,9,,43,175,33,15,14,4,15,,2,53
110,Ryan Feltner,COL,5,6,4.97,16,16,0,0,,87,379,93,52,48,12,32,,4,72
111,Ryne Nelson,ARI,2,2,4.17,29,14,0,0,,97,411,96,49,45,13,27,,4,81
112,Andrew Abbott,CIN,5,6,4.49,16,16,0,0,,88,382,82,48,44,15,33,,4,89
113,JP Sears,ATH,6,7,4.65,19,19,0,0,,109,465,109,61,56,19,30,,5,90
114,Tomoyuki Sugano,BAL,4,5,4.52,18,18,0,0,,106,455,111,58,53,16,26,,4,77
115,Charlie Morton,BAL,6,6,4.37,23,15,0,0,,93,402,88,49,45,12,40,,4,90
116,Bubba Chandler,PIT,4,4,4.1,12,12,0,0,,70,306,64,35,32,8,32,,3,71
117,Kyle Freeland,COL,5,7,5.28,18,18,0,0,,100,434,116,64,58,16,26,,4,72
118,Andrew Heaney,PIT,4,4,4.48,23,16,0,0,,91,391,92,49,45,13,30,,4,79
119,Jeffrey Springs,ATH,4,5,4.52,18,18,0,0,,87,366,83,48,44,13,30,,4,76
120,Stephen Kolek,SDP,2,2,4.11,24,12,0,0,,79,343,79,40,36,9,26,,4,65
121,Tanner Houck,BOS,3,3,4.21,25,9,0,0,,66,284,68,34,31,7,22,,3,57
122,Josh Hader,HOU,2,2,2.9,42,0,20,1,,42,173,29,15,14,5,17,,2,59
123,Jeff Hoffman,TOR,2,2,2.91,41,0,18,2,,41,166,30,14,13,4,14,,2,51
124,Frankie Montas,NYM,6,5,4,15,15,0,0,,83,357,74,40,37,10,35,,4,79
125,Bryce Elder,ATL,3,3,4.43,24,16,0,0,,99,427,101,53,49,12,33,,4,81
126,Adrian Houser,CHW,2,2,4.54,22,15,0,0,,75,323,77,41,38,9,27,,3,57
127,Hayden Birdsong,SFG,2,2,3.85,22,15,0,0,,81,349,69,38,35,9,37,,4,89
128,Germán Márquez,COL,5,7,5.21,17,17,0,0,,95,412,105,60,55,14,33,,4,71
129,Colin Rea,CHC,2,2,4.29,20,16,0,0,,93,394,91,48,44,13,27,,4,78
130,Sean Manaea,NYM,4,4,4.18,13,13,0,0,,75,318,69,38,35,11,26,,4,75
