Scoring Period,Away,Home
12,Baltimore Orioles,Philadelphia Phillies
12,Houston Astros,Milwaukee Brewers
12,Houston Astros,Saint Louis Cardinals
12,Minnesota Twins,Los Angeles Angels
12,Minnesota Twins,Philadelphia Phillies
12,Minnesota Twins,Cincinnati Reds
12,New York Yankees,Los Angeles Dodgers
12,Washington Nationals,Saint Louis Cardinals
12,Washington Nationals,Chicago Cubs
12,Washington Nationals,New York Mets
12,Chicago White Sox,Chicago Cubs
12,Chicago White Sox,New York Mets
12,Chicago White Sox,Colorado Rockies
12,Boston Red Sox,Arizona Diamondbacks
12,Boston Red Sox,New York Yankees
12,Boston Red Sox,Los Angeles Angels
12,Miami Marlins,Seattle Mariners
12,Miami Marlins,Philadelphia Phillies
12,Miami Marlins,Cincinnati Reds
12,Toronto Blue Jays,Detroit Tigers
12,Toronto Blue Jays,Los Angeles Dodgers
12,Toronto Blue Jays,Colorado Rockies
12,Tampa Bay Rays,Seattle Mariners
12,Tampa Bay Rays,Cincinnati Reds
12,Tampa Bay Rays,San Francisco Giants
12,Pittsburgh Pirates,Arizona Diamondbacks
12,Pittsburgh Pirates,New York Yankees
12,San Diego Padres,Texas Rangers
12,San Diego Padres,Milwaukee Brewers
12,San Diego Padres,Houston Astros
12,Atlanta Braves,Milwaukee Brewers
12,Atlanta Braves,Saint Louis Cardinals
12,Atlanta Braves,Chicago Cubs
12,Athletics,Detroit Tigers
12,Athletics,Pittsburgh Pirates
12,Athletics,Los Angeles Dodgers
12,Cleveland Guardians,Detroit Tigers
12,Cleveland Guardians,New York Mets
12,Cleveland Guardians,Colorado Rockies
13,Seattle Mariners,Texas Rangers
13,Seattle Mariners,San Diego Padres
13,Seattle Mariners,San Francisco Giants
13,Saint Louis Cardinals,Milwaukee Brewers
13,Saint Louis Cardinals,San Diego Padres
13,Arizona Diamondbacks,Minnesota Twins
13,Arizona Diamondbacks,Miami Marlins
13,Arizona Diamondbacks,Tampa Bay Rays
13,New York Yankees,Baltimore Orioles
13,New York Yankees,Minnesota Twins
13,New York Yankees,Miami Marlins
13,Los Angeles Angels,Kansas City Royals
13,Los Angeles Angels,Miami Marlins
13,Los Angeles Angels,Tampa Bay Rays
13,Philadelphia Phillies,Kansas City Royals
13,Philadelphia Phillies,Texas Rangers
13,Philadelphia Phillies,Tampa Bay Rays
13,Boston Red Sox,Toronto Blue Jays
13,Boston Red Sox,Cleveland Guardians
13,Detroit Tigers,Washington Nationals
13,Detroit Tigers,Chicago White Sox
13,Detroit Tigers,Atlanta Braves
13,Chicago Cubs,Milwaukee Brewers
13,Chicago Cubs,Houston Astros
13,Chicago Cubs,Saint Louis Cardinals
13,New York Mets,Milwaukee Brewers
13,New York Mets,Houston Astros
13,New York Mets,Atlanta Braves
13,Toronto Blue Jays,Baltimore Orioles
13,Pittsburgh Pirates,Chicago White Sox
13,Pittsburgh Pirates,Toronto Blue Jays
13,Pittsburgh Pirates,Cleveland Guardians
13,Cincinnati Reds,Kansas City Royals
13,Cincinnati Reds,Texas Rangers
13,Cincinnati Reds,San Francisco Giants
13,Los Angeles Dodgers,Washington Nationals
13,Los Angeles Dodgers,Chicago White Sox
13,Los Angeles Dodgers,Cleveland Guardians
13,Colorado Rockies,Houston Astros
13,Colorado Rockies,Washington Nationals
13,Colorado Rockies,Atlanta Braves
13,Athletics,Baltimore Orioles
13,Athletics,Minnesota Twins
13,Athletics,Boston Red Sox
13,San Francisco Giants,San Diego Padres
14,Seattle Mariners,Los Angeles Angels
14,Seattle Mariners,Philadelphia Phillies
14,Seattle Mariners,Cincinnati Reds
14,Kansas City Royals,Arizona Diamondbacks
14,Kansas City Royals,New York Yankees
14,Kansas City Royals,Athletics
14,Texas Rangers,Arizona Diamondbacks
14,Texas Rangers,New York Yankees
14,Texas Rangers,Los Angeles Angels
14,Milwaukee Brewers,Detroit Tigers
14,Milwaukee Brewers,Los Angeles Dodgers
14,Milwaukee Brewers,Colorado Rockies
14,Houston Astros,Detroit Tigers
14,Houston Astros,Pittsburgh Pirates
14,Houston Astros,Los Angeles Dodgers
14,Saint Louis Cardinals,Detroit Tigers
14,Saint Louis Cardinals,New York Mets
14,Saint Louis Cardinals,Colorado Rockies
14,Minnesota Twins,Toronto Blue Jays
14,Minnesota Twins,Cleveland Guardians
14,Washington Nationals,Baltimore Orioles
14,Washington Nationals,Boston Red Sox
14,Washington Nationals,Pittsburgh Pirates
14,Chicago White Sox,Baltimore Orioles
14,Chicago White Sox,Minnesota Twins
14,Chicago White Sox,Boston Red Sox
14,Chicago Cubs,New York Mets
14,Chicago Cubs,Colorado Rockies
14,Miami Marlins,Toronto Blue Jays
14,Miami Marlins,Athletics
14,Miami Marlins,Cleveland Guardians
14,Tampa Bay Rays,New York Yankees
14,Tampa Bay Rays,Toronto Blue Jays
14,Tampa Bay Rays,Athletics
14,Cincinnati Reds,Philadelphia Phillies
14,San Diego Padres,Chicago Cubs
14,San Diego Padres,New York Mets
14,San Diego Padres,Cincinnati Reds
14,Atlanta Braves,Boston Red Sox
14,Atlanta Braves,Pittsburgh Pirates
14,Atlanta Braves,Los Angeles Dodgers
14,San Francisco Giants,Arizona Diamondbacks
14,San Francisco Giants,Los Angeles Angels
14,San Francisco Giants,Philadelphia Phillies
14,Cleveland Guardians,Baltimore Orioles
15,Baltimore Orioles,Milwaukee Brewers
