#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
553,Luca Tresh,KCR,3,9,8,2,0,0,0,1,1,1,2,0,0,0,6.50%,26.10%,0.124,0.28,0.22,0.274,0.344,0.618,0.272,70,999
554,Danny Mendick,CHW,24,68,63,14,3,0,1,6,6,4,15,1,1,0,5.70%,22.30%,0.108,0.269,0.221,0.272,0.329,0.601,0.265,70,999
555,Jesús Bastidas,HOU,3,9,8,2,0,0,0,1,1,1,2,0,0,0,6.00%,27.50%,0.129,0.27,0.211,0.271,0.34,0.611,0.269,74,999
556,Tucker Barnhart,TEX,7,23,20,4,1,0,0,2,2,2,6,0,0,0,8.50%,26.50%,0.072,0.267,0.197,0.272,0.269,0.541,0.245,56,999
557,Kody Clemens,PHI,17,56,51,11,2,0,2,6,7,4,14,0,1,0,6.60%,25.90%,0.162,0.26,0.215,0.27,0.377,0.647,0.281,78,999
558,Austin Wynns,CIN,9,29,27,6,1,0,1,2,3,2,7,0,0,0,6.10%,25.70%,0.097,0.274,0.213,0.269,0.311,0.579,0.257,56,999
559,Luis Vazquez,BAL,8,13,12,3,0,0,0,1,1,1,3,0,0,0,5.70%,25.90%,0.106,0.277,0.215,0.268,0.321,0.589,0.26,69,999
560,Cooper Bowman,CIN,10,38,34,7,2,0,1,4,3,3,10,0,2,0,6.90%,25.80%,0.125,0.273,0.216,0.278,0.341,0.619,0.273,67,751
561,Cooper Hummel,HOU,3,10,9,2,0,0,0,1,1,1,3,0,0,0,9.80%,26.20%,0.124,0.281,0.215,0.302,0.339,0.641,0.286,86,999
562,Willie Calhoun,,2,6,6,1,0,0,0,1,1,1,1,0,0,0,8.20%,14.10%,0.118,0.249,0.23,0.297,0.348,0.645,0.285,82,999
563,Dom Nuñez,CLE,2,6,5,1,0,0,0,1,1,1,2,0,0,0,9.40%,31.60%,0.133,0.243,0.181,0.264,0.314,0.578,0.258,66,999
564,Chuckie Robinson,LAA,6,19,18,4,1,0,0,2,2,1,5,0,0,0,5.00%,26.20%,0.09,0.269,0.207,0.254,0.297,0.551,0.244,54,999
565,Andre Lipcius,CHW,4,9,9,2,0,0,0,1,1,1,2,0,0,0,7.30%,24.10%,0.123,0.273,0.221,0.281,0.344,0.624,0.275,77,999
566,Armando Alvarez,MIN,3,8,8,2,0,0,0,1,1,1,2,0,0,0,6.20%,21.80%,0.124,0.268,0.224,0.274,0.348,0.623,0.273,76,999
567,Justin Turner,CHC,80,330,297,71,14,0,6,32,35,25,60,6,1,0,7.50%,18.20%,0.112,0.28,0.241,0.308,0.353,0.661,0.293,89,500.5
568,Victor Mesa Jr.,MIA,17,67,62,14,3,0,1,6,6,4,16,0,1,0,5.90%,23.40%,0.118,0.28,0.226,0.275,0.344,0.619,0.271,69,999
569,Jonathan Ornelas,TEX,6,18,16,4,1,0,0,2,1,1,5,0,0,0,6.30%,27.00%,0.088,0.293,0.218,0.275,0.306,0.581,0.258,65,999
570,Brandon Lockridge,SDP,17,44,40,9,2,0,1,5,3,3,12,0,2,0,6.70%,27.80%,0.093,0.3,0.22,0.278,0.313,0.591,0.263,70,750.7
571,Tyler Callihan,CIN,4,14,13,3,1,0,0,2,1,1,4,0,0,0,6.50%,28.40%,0.131,0.292,0.221,0.277,0.352,0.629,0.276,69,999
572,Aaron Hicks,,2,7,6,1,0,0,0,1,1,1,2,0,0,0,11.10%,24.60%,0.119,0.277,0.218,0.309,0.337,0.646,0.289,85,999
573,Austin Shenton,SEA,18,62,55,11,2,0,1,6,6,6,20,1,0,0,9.10%,31.90%,0.129,0.286,0.205,0.284,0.334,0.618,0.274,83,750.3
574,Luke Ritter,NYM,5,17,16,3,1,0,0,2,2,1,6,0,0,0,8.00%,35.40%,0.128,0.283,0.194,0.269,0.322,0.592,0.263,70,999
575,Sam Hilliard,COL,66,229,206,45,9,1,8,28,25,20,75,1,6,1,8.60%,32.60%,0.18,0.297,0.22,0.291,0.4,0.691,0.3,79,606.7
576,Oscar Gonzalez,SDP,6,20,19,5,1,0,1,2,2,1,5,0,0,0,4.00%,23.30%,0.135,0.303,0.249,0.282,0.384,0.666,0.288,87,999
577,Travis Jankowski,CHC,23,73,66,15,2,0,0,8,4,6,15,1,3,1,8.40%,21.00%,0.057,0.291,0.226,0.297,0.284,0.581,0.263,69,999
578,Carlos D. Rodriguez,ATL,4,13,12,3,1,0,0,1,1,1,2,0,0,0,6.80%,14.80%,0.085,0.302,0.26,0.312,0.345,0.658,0.29,84,999
579,Jake Fraley,CIN,104,404,362,87,18,2,6,47,36,34,79,5,17,4,8.30%,19.60%,0.115,0.29,0.241,0.312,0.356,0.669,0.295,82,386.3
580,Alexander Canario,NYM,15,47,43,9,2,0,2,5,5,3,16,0,1,0,6.80%,33.30%,0.155,0.275,0.203,0.263,0.359,0.621,0.272,76,745.1
581,Joey Wendle,,13,44,41,10,2,0,0,4,3,2,9,1,1,0,4.80%,20.50%,0.081,0.295,0.236,0.28,0.317,0.597,0.263,68,999
582,Matthew Lugo,LAA,3,8,8,2,0,0,0,1,1,0,2,0,0,0,5.60%,26.40%,0.143,0.292,0.23,0.28,0.373,0.653,0.284,82,749.5
583,Steward Berroa,TOR,5,12,11,2,0,0,0,1,1,1,4,0,1,0,8.10%,29.10%,0.109,0.288,0.21,0.278,0.319,0.597,0.266,72,999
584,Nick Kurtz,ATH,8,35,31,7,1,0,1,4,3,3,10,0,0,0,8.20%,28.50%,0.149,0.273,0.212,0.284,0.361,0.645,0.283,87,999
585,Estevan Florial,,2,6,6,1,0,0,0,1,1,1,2,0,0,0,8.60%,34.70%,0.141,0.297,0.205,0.277,0.346,0.623,0.274,75,999
586,Tony Kemp,,3,9,8,2,0,0,0,1,1,1,1,0,0,0,8.40%,13.70%,0.063,0.247,0.215,0.289,0.278,0.566,0.257,65,999
587,Brian Serven,DET,11,28,25,5,1,0,0,2,2,2,8,0,0,0,6.70%,29.30%,0.1,0.253,0.188,0.252,0.287,0.539,0.242,55,999
588,Joey Meneses,NYM,2,7,7,2,0,0,0,1,1,0,1,0,0,0,5.80%,20.60%,0.121,0.281,0.239,0.287,0.36,0.647,0.283,84,999
589,Kenedy Corona,HOU,2,6,6,1,0,0,0,1,1,0,2,0,0,0,6.50%,28.30%,0.112,0.28,0.21,0.269,0.322,0.592,0.261,69,999
590,Garrett Cooper,ATL,11,39,36,9,2,0,1,4,4,3,11,0,0,0,7.30%,27.60%,0.137,0.319,0.243,0.307,0.38,0.687,0.302,92,999
591,Braden Shewmake,NYY,4,12,11,2,0,0,0,1,1,1,3,0,0,0,4.80%,22.70%,0.115,0.248,0.206,0.249,0.321,0.57,0.25,59,999
592,Quincy Hamilton,HOU,4,11,10,2,0,0,0,1,1,1,3,0,0,0,7.90%,26.00%,0.125,0.256,0.203,0.274,0.328,0.601,0.267,73,999
593,Dominic Smith,NYY,2,8,7,2,0,0,0,1,1,1,2,0,0,0,8.10%,22.30%,0.132,0.268,0.224,0.297,0.355,0.653,0.288,87,747.4
