#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
92,Max Scherzer,TOR,21,27,122,6,5,11,0,1,106,52,18,124,34,9.15,2.49,3.68,1.32,0.23,1.14,0.275,72.30%,3.84,4,297.7
93,Miles Mikolas,STL,31,31,175,10,11,14,0,0,185,88,25,123,36,6.34,1.88,3.37,1.28,0.267,1.27,0.294,67.30%,4.52,4.35,594.4
94,Bowden Francis,TOR,26,36,157,7,6,14,0,1,140,69,24,142,44,8.17,2.54,3.22,1.36,0.232,1.18,0.266,72.00%,3.97,4.28,241.1
95,Nestor Cortes,MIL,21,44,144,4,4,12,0,1,125,62,23,142,38,8.86,2.36,3.75,1.41,0.227,1.13,0.265,72.60%,3.86,4.15,268.8
96,Max Meyer,MIA,24,34,135,6,6,12,0,1,134,63,16,121,47,8.07,3.12,2.58,1.07,0.253,1.34,0.3,70.70%,4.21,4.09,414.5
97,Aaron Civale,MIL,24,39,148,6,5,13,0,1,134,65,22,144,46,8.77,2.79,3.14,1.34,0.233,1.22,0.273,72.90%,3.98,4.22,366.6
98,Jameson Taillon,CHC,29,29,166,10,10,14,0,0,165,80,24,133,41,7.23,2.22,3.27,1.33,0.254,1.24,0.286,69.10%,4.34,4.34,353.7
99,Reid Detmers,LAA,18,36,115,4,3,10,0,1,103,50,16,124,40,9.73,3.12,3.12,1.23,0.233,1.25,0.289,72.80%,3.94,3.96,359.5
100,Jeffrey Springs,ATH,26,34,133,7,7,13,0,1,125,60,18,124,37,8.41,2.51,3.35,1.22,0.244,1.22,0.29,70.70%,4.05,4.02,266.1
101,Spencer Arrighetti,HOU,26,26,138,9,9,13,0,0,122,63,18,146,61,9.56,3.99,2.4,1.19,0.232,1.33,0.287,72.60%,4.11,4.23,203.4
