#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1727,Chad Bell,687382,687382,sa3010888,9467,*051ez*,NYY,3B,3B,Bell,Chad,Bell,Chad
1728,Brent Headrick,687396,687396,27702,11689,*0516x*,NYY,RP,RP,Headrick,Brent,Headrick,Brent
1729,Joey Ortiz,687401,687401,25493,11625,*0513c*,MIL,3B,2B/SS/ 3B,Ortiz,Joey,Ortiz,Joey
1730,Anthony Maldonado,687424,687424,26034,11997,*0518d*,ATH,RP,RP,Maldonado,Anthony,Maldonado,Anthony
1731,Hudson Head,687431,687431,sa3010889,11047,*0512p*,PIT,OF,OF,Head,Hudson,Head,Hudson
1732,Spencer Horwitz,687462,687462,26477,11434,*051ia*,PIT,1B/2B,1B/2B,Horwitz,Spencer,Horwitz,Spencer
1733,Ryan Gusto,687473,687473,sa3011818,12187,*0518s*,HOU,SP,SP,Gusto,Ryan,Gusto,Ryan
1734,Colby Thomas,687515,687515,sa3020713,12199,*0630e*,ATH,OF,OF,Thomas,Colby,Thomas,Colby
1735,Grant McCray,687529,687529,25690,12154,*0512r*,SF,OF,OF,McCray,Grant,McCray,Grant
1736,Drew Gilbert,687551,687551,sa3019980,11955,*05xu0*,NYM,OF,OF,Gilbert,Drew,Gilbert,Drew
1737,Dom Hamel,687589,687589,sa3017949,12015,*05udy*,NYM,SP,SP,Hamel,Dom,Hamel,Dom
1738,Jordan Beck,687597,687597,31431,12084,*051b4*,COL,OF,OF,Beck,Jordan,Beck,Jordan
1739,Dylan Beavers,687637,687637,sa3019983,12226,*05xty*,BAL,OF,OF,Beavers,Dylan,Beavers,Dylan
1740,Kaden Polcovich,687659,687659,sa3014496,10868,*05lnl*,SEA,2B,2B,Polcovich,Kaden,Polcovich,Kaden
1741,Jackson Cluff,687714,687714,sa3010342,11124,*05150*,WSH,SS,SS,Cluff,Jackson,Cluff,Jackson
1742,Mitch Spence,687765,687765,27707,12002,*0517z*,ATH,SP,SP,Spence,Mitch,Spence,Mitch
1743,DJ Herz,687792,687792,26389,11969,*0516h*,WSH,SP,SP,Herz,DJ,Herz,DJ
1744,Nick Robertson,687798,687798,26226,11805,*0515s*,TOR,RP,RP,Robertson,Nick,Robertson,Nick
1745,Cade Marlowe,687799,687799,25505,11657,*051fl*,SEA,OF,OF,Marlowe,Cade,Marlowe,Cade
